filename,method,num_detected,total_area_px,total_perimeter_px,processing_time_s,mask_path,viz_path
coin_001.jpg,thresholding,5,156359.0,4014.3455723524094,0.0124,results\masks\thresholding\coin_001_mask.png,results\viz\thresholding\coin_001_viz.png
coin_001.jpg,region_growing,1,65184.5,2650.598312854767,0.1533,results\masks\region_growing\coin_001_mask.png,results\viz\region_growing\coin_001_viz.png
coin_001.jpg,kmeans,2,150129.5,3532.2105742692947,0.5546,results\masks\kmeans\coin_001_mask.png,results\viz\kmeans\coin_001_viz.png
coin_002.jpg,thresholding,1,363652.0,3540.802288174629,0.0146,results\masks\thresholding\coin_002_mask.png,results\viz\thresholding\coin_002_viz.png
coin_002.jpg,region_growing,2,26043.0,1255.9452990293503,0.0775,results\masks\region_growing\coin_002_mask.png,results\viz\region_growing\coin_002_viz.png
coin_002.jpg,kmeans,6,37408.5,2993.3333708047867,0.6003,results\masks\kmeans\coin_002_mask.png,results\viz\kmeans\coin_002_viz.png
coin_003.jpg,thresholding,5,156359.0,4014.3455723524094,0.0103,results\masks\thresholding\coin_003_mask.png,results\viz\thresholding\coin_003_viz.png
coin_003.jpg,region_growing,1,65184.5,2650.598312854767,0.1906,results\masks\region_growing\coin_003_mask.png,results\viz\region_growing\coin_003_viz.png
coin_003.jpg,kmeans,2,149912.5,3484.7547311782837,0.3788,results\masks\kmeans\coin_003_mask.png,results\viz\kmeans\coin_003_viz.png
coin_004.jpg,thresholding,15,267068.0,10620.336123108864,0.0154,results\masks\thresholding\coin_004_mask.png,results\viz\thresholding\coin_004_viz.png
coin_004.jpg,region_growing,1,117089.5,3422.279547214508,0.3402,results\masks\region_growing\coin_004_mask.png,results\viz\region_growing\coin_004_viz.png
coin_004.jpg,kmeans,11,74717.5,5539.571289777756,0.7879,results\masks\kmeans\coin_004_mask.png,results\viz\kmeans\coin_004_viz.png
coin_005.jpg,thresholding,12,304574.5,9797.133027911186,0.012,results\masks\thresholding\coin_005_mask.png,results\viz\thresholding\coin_005_viz.png
coin_005.jpg,region_growing,1,100961.5,4304.43596303463,0.3694,results\masks\region_growing\coin_005_mask.png,results\viz\region_growing\coin_005_viz.png
coin_005.jpg,kmeans,10,80758.5,5753.703319430351,0.8019,results\masks\kmeans\coin_005_mask.png,results\viz\kmeans\coin_005_viz.png
coin_006.jpg,thresholding,11,221798.5,7322.801738619804,0.0139,results\masks\thresholding\coin_006_mask.png,results\viz\thresholding\coin_006_viz.png
coin_006.jpg,region_growing,1,69366.5,1977.1240119934082,0.237,results\masks\region_growing\coin_006_mask.png,results\viz\region_growing\coin_006_viz.png
coin_006.jpg,kmeans,2,115665.5,3146.1475180387497,0.7653,results\masks\kmeans\coin_006_mask.png,results\viz\kmeans\coin_006_viz.png
coin_007.jpg,thresholding,10,248960.5,6920.5864498615265,0.0204,results\masks\thresholding\coin_007_mask.png,results\viz\thresholding\coin_007_viz.png
coin_007.jpg,region_growing,1,83249.0,2681.866213440895,0.2096,results\masks\region_growing\coin_007_mask.png,results\viz\region_growing\coin_007_viz.png
coin_007.jpg,kmeans,9,72203.0,5554.760110735893,0.8321,results\masks\kmeans\coin_007_mask.png,results\viz\kmeans\coin_007_viz.png
coin_008.jpg,thresholding,1,395676.5,2660.608413338661,0.0197,results\masks\thresholding\coin_008_mask.png,results\viz\thresholding\coin_008_viz.png
coin_008.jpg,region_growing,1,287285.5,2389.7211097478867,0.5545,results\masks\region_growing\coin_008_mask.png,results\viz\region_growing\coin_008_viz.png
coin_008.jpg,kmeans,3,189555.5,5424.328318357468,0.7249,results\masks\kmeans\coin_008_mask.png,results\viz\kmeans\coin_008_viz.png
coin_009.jpg,thresholding,1,75203.5,1502.628627538681,0.0194,results\masks\thresholding\coin_009_mask.png,results\viz\thresholding\coin_009_viz.png
coin_009.jpg,region_growing,2,30962.5,1073.300637960434,0.1276,results\masks\region_growing\coin_009_mask.png,results\viz\region_growing\coin_009_viz.png
coin_009.jpg,kmeans,2,64649.0,1720.3514959812164,0.5071,results\masks\kmeans\coin_009_mask.png,results\viz\kmeans\coin_009_viz.png
coin_010.jpg,thresholding,1,63666.0,960.5727188587189,0.0167,results\masks\thresholding\coin_010_mask.png,results\viz\thresholding\coin_010_viz.png
coin_010.jpg,region_growing,1,56463.0,972.146310210228,0.1277,results\masks\region_growing\coin_010_mask.png,results\viz\region_growing\coin_010_viz.png
coin_010.jpg,kmeans,1,60810.5,956.8153601884842,0.3854,results\masks\kmeans\coin_010_mask.png,results\viz\kmeans\coin_010_viz.png
coin_011.jpg,thresholding,1,161402.5,2431.9465128183365,0.0065,results\masks\thresholding\coin_011_mask.png,results\viz\thresholding\coin_011_viz.png
coin_011.jpg,region_growing,2,91296.0,1769.8662148714066,0.2201,results\masks\region_growing\coin_011_mask.png,results\viz\region_growing\coin_011_viz.png
coin_011.jpg,kmeans,2,127669.5,2421.1180785894394,0.5111,results\masks\kmeans\coin_011_mask.png,results\viz\kmeans\coin_011_viz.png
coin_012.jpg,thresholding,1,160896.0,2485.9292669296265,0.0107,results\masks\thresholding\coin_012_mask.png,results\viz\thresholding\coin_012_viz.png
coin_012.jpg,region_growing,2,109409.0,2622.7576911449432,0.317,results\masks\region_growing\coin_012_mask.png,results\viz\region_growing\coin_012_viz.png
coin_012.jpg,kmeans,2,137515.0,2545.326233267784,0.4734,results\masks\kmeans\coin_012_mask.png,results\viz\kmeans\coin_012_viz.png
coin_013.jpg,thresholding,1,138967.5,1937.7900993824005,0.0074,results\masks\thresholding\coin_013_mask.png,results\viz\thresholding\coin_013_viz.png
coin_013.jpg,region_growing,3,78758.5,2241.2947101593018,0.1944,results\masks\region_growing\coin_013_mask.png,results\viz\region_growing\coin_013_viz.png
coin_013.jpg,kmeans,2,104779.0,2236.6500465869904,0.5979,results\masks\kmeans\coin_013_mask.png,results\viz\kmeans\coin_013_viz.png
coin_014.jpg,thresholding,1,123844.0,2268.0226312875748,0.019,results\masks\thresholding\coin_014_mask.png,results\viz\thresholding\coin_014_viz.png
coin_014.jpg,region_growing,3,60769.0,2569.586121916771,0.1249,results\masks\region_growing\coin_014_mask.png,results\viz\region_growing\coin_014_viz.png
coin_014.jpg,kmeans,2,100944.0,2212.5079139471054,0.6205,results\masks\kmeans\coin_014_mask.png,results\viz\kmeans\coin_014_viz.png
coin_015.jpg,thresholding,2,56728.5,1429.775816321373,0.0153,results\masks\thresholding\coin_015_mask.png,results\viz\thresholding\coin_015_viz.png
coin_015.jpg,region_growing,2,48690.5,1428.1778333187103,0.1372,results\masks\region_growing\coin_015_mask.png,results\viz\region_growing\coin_015_viz.png
coin_015.jpg,kmeans,2,53234.5,1413.775816321373,0.436,results\masks\kmeans\coin_015_mask.png,results\viz\kmeans\coin_015_viz.png
coin_016.jpg,thresholding,3,288665.0,5773.462441325188,0.0146,results\masks\thresholding\coin_016_mask.png,results\viz\thresholding\coin_016_viz.png
coin_016.jpg,region_growing,3,90478.0,3899.301850795746,0.2635,results\masks\region_growing\coin_016_mask.png,results\viz\region_growing\coin_016_viz.png
coin_016.jpg,kmeans,6,149658.0,5225.084806203842,0.5033,results\masks\kmeans\coin_016_mask.png,results\viz\kmeans\coin_016_viz.png
coin_017.jpg,thresholding,3,131207.0,2970.688714146614,0.0176,results\masks\thresholding\coin_017_mask.png,results\viz\thresholding\coin_017_viz.png
coin_017.jpg,region_growing,4,45626.0,1864.7190291881561,0.1286,results\masks\region_growing\coin_017_mask.png,results\viz\region_growing\coin_017_viz.png
